intersect	slope	p	BH	func	func_type	dataset
-0.00585490941456025	-0.0644682860662547	3.30621755657122e-05	0.00617298369624818	K00002	kos	ERP002061 | Obesity 1
-0.00781464140918016	0.0239375295448526	0.00107794026441519	0.0483025032484448	K00020	kos	ERP002061 | Obesity 1
-0.00611926637393764	-0.0425825327138945	0.0134240397101286	0.195404487028708	K00112	kos	ERP002061 | Obesity 1
-0.00675114069865094	-0.117747671116137	0.00580027226826076	0.120141592729849	K00117	kos	ERP002061 | Obesity 1
0.00956965105343058	-0.0209723039899689	0.000583241242749742	0.0348467201168212	K00145	kos	ERP002061 | Obesity 1
-0.00637241521432231	-0.049759382636674	0.00129378708003021	0.0531877055561043	K00156	kos	ERP002061 | Obesity 1
-0.00175237004962329	-0.0205735531837242	0.00916519148980377	0.157580691030186	K00198	kos	ERP002061 | Obesity 1
-0.00511489514896065	-0.0522678203355423	0.000181574648392188	0.0203408999861348	K00209	kos	ERP002061 | Obesity 1
-0.00676856544180447	0.0498577137412179	0.0150654496110235	0.205817925935965	K00231	kos	ERP002061 | Obesity 1
-0.00629554011510514	-0.0303294644851405	0.00277286742782555	0.080924758080041	K00281	kos	ERP002061 | Obesity 1
-0.0117991790360254	0.017845782761084	0.0186593723423809	0.228449856465052	K00282	kos	ERP002061 | Obesity 1
-0.022078087379421	0.0203647670980302	0.000449547788900183	0.0298110405158787	K00287	kos	ERP002061 | Obesity 1
-0.00665597372812933	-0.0250513820303136	0.00120191437668076	0.0512931268752997	K00324	kos	ERP002061 | Obesity 1
-0.00660000589761047	-0.0439267556801782	0.000639487549558534	0.036737739866305	K00325	kos	ERP002061 | Obesity 1
0.00100189863639074	-0.00958621209910273	0.0124833912364821	0.191568753872179	K00548	kos	ERP002061 | Obesity 1
-0.018745768067872	0.0161261287736905	0.00350455656333069	0.0929225914809752	K00560	kos	ERP002061 | Obesity 1
0.00314612198097838	-0.0142305966728204	0.0188516551102854	0.228927551623818	K00595	kos	ERP002061 | Obesity 1
-0.0200671458571124	0.0185035335640628	0.000230310415672799	0.0224352385354307	K00625	kos	ERP002061 | Obesity 1
-0.00640720987357869	-0.0778492008806659	0.00162540413398114	0.0617240332573684	K00638	kos	ERP002061 | Obesity 1
-0.0160055092700683	0.0115314356532835	0.00511493326041074	0.11680195373522	K00640	kos	ERP002061 | Obesity 1
-0.00121235630967369	-0.0106150738570641	0.00322765083713196	0.0871271289228211	K00648	kos	ERP002061 | Obesity 1
-0.0065171449847519	-0.0710821853004848	1.75096498226329e-07	0.000112086772650311	K00675	kos	ERP002061 | Obesity 1
-0.00710754016275676	0.0197907934584652	0.00168518792021677	0.0629277255874278	K00681	kos	ERP002061 | Obesity 1
-0.00664695918814057	-0.0356739494981883	0.00532395155886371	0.118344137803298	K00758	kos	ERP002061 | Obesity 1
-0.0252439079465418	0.0231828048100665	0.00361170388762936	0.0950738232519413	K00761	kos	ERP002061 | Obesity 1
-0.00654890287920735	-0.0656468384855851	0.00304980878595076	0.0842971597565551	K00769	kos	ERP002061 | Obesity 1
-0.00179317703537299	-0.00918788238893826	0.00917843346549397	0.157580691030186	K00788	kos	ERP002061 | Obesity 1
-0.00669817376854519	-0.0692122983908398	0.0111314571032732	0.177371135987339	K00809	kos	ERP002061 | Obesity 1
